	DepTime	CRSDepTime	ArrTime	CRSArrTime	ActualElapsedTime	CRSElapsedTime	AirTime	ArrDelay	DepDelay	Distance	TaxiIn	TaxiOut	CarrierDelay	WeatherDelay	NASDelay	SecurityDelay	LateAircraftDelay
4	1829.0	1755	1959.0	1925	90.0	90.0	77.0	34.0	34.0	515	3.0	10.0	2.0	0.0	0.0	0.0	32.0
6	1937.0	1830	2037.0	1940	240.0	250.0	230.0	57.0	67.0	1591	3.0	7.0	10.0	0.0	0.0	0.0	47.0
11	1644.0	1510	1845.0	1725	121.0	135.0	107.0	80.0	94.0	828	6.0	8.0	8.0	0.0	0.0	0.0	72.0
16	1452.0	1425	1640.0	1625	228.0	240.0	213.0	15.0	27.0	1489	7.0	8.0	3.0	0.0	0.0	0.0	12.0
18	1323.0	1255	1526.0	1510	123.0	135.0	110.0	16.0	28.0	838	4.0	9.0	0.0	0.0	0.0	0.0	16.0
19	1416.0	1325	1512.0	1435	56.0	70.0	49.0	37.0	51.0	220	2.0	5.0	12.0	0.0	0.0	0.0	25.0
21	1657.0	1625	1754.0	1735	57.0	70.0	47.0	19.0	32.0	220	5.0	5.0	7.0	0.0	0.0	0.0	12.0
26	1422.0	1255	1657.0	1610	155.0	195.0	143.0	47.0	87.0	1093	6.0	6.0	40.0	0.0	0.0	0.0	7.0
30	2107.0	1945	2334.0	2230	147.0	165.0	134.0	64.0	82.0	972	6.0	7.0	5.0	0.0	0.0	0.0	59.0
37	1812.0	1650	1927.0	1815	135.0	145.0	118.0	72.0	82.0	765	6.0	11.0	3.0	0.0	0.0	0.0	69.0
40	1326.0	1230	1559.0	1530	153.0	180.0	143.0	29.0	56.0	1052	5.0	5.0	0.0	0.0	0.0	0.0	29.0
48	1450.0	1435	1806.0	1745	136.0	130.0	121.0	21.0	15.0	888	7.0	8.0	0.0	0.0	6.0	0.0	15.0
49	2245.0	1730	2354.0	1850	69.0	80.0	59.0	304.0	315.0	359	3.0	7.0	282.0	0.0	0.0	0.0	22.0
52	2025.0	1940	2135.0	2100	70.0	80.0	60.0	35.0	45.0	359	3.0	7.0	26.0	0.0	0.0	0.0	9.0
53	1038.0	945	1314.0	1225	96.0	100.0	81.0	49.0	53.0	587	8.0	7.0	7.0	0.0	0.0	0.0	42.0
